unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1652101200,2022-05-09 13:00:00,BTC/USDT,32843.96,33175.64,32720.63,32950.51,1.62338535,53491.375209028505
1652097600,2022-05-09 12:00:00,BTC/USDT,33084.39,33124.68,32821.05,32821.05,0.93957306,30837.774380913
1652094000,2022-05-09 11:00:00,BTC/USDT,32978.18,32978.18,32769.36,32919.37,0.98305050,32361.403138185004
1652090400,2022-05-09 10:00:00,BTC/USDT,33458.51,33502.13,32749.80,32749.80,4.47819032,146659.837341936
1652086800,2022-05-09 09:00:00,BTC/USDT,33701.13,33739.44,33460.27,33460.27,0.65930553,22060.5410462931
1652083200,2022-05-09 08:00:00,BTC/USDT,33474.04,33698.67,33250.00,33629.24,3.44184029,115746.47315407959
1652079600,2022-05-09 07:00:00,BTC/USDT,33716.27,33716.28,33497.23,33512.78,1.89792247,63604.65819416659
1652076000,2022-05-09 06:00:00,BTC/USDT,33471.82,33565.58,33370.94,33527.53,1.29938632,43565.2138253896
1652072400,2022-05-09 05:00:00,BTC/USDT,33714.79,33714.79,33498.43,33500.00,6.10392986,204481.65031
1652068800,2022-05-09 04:00:00,BTC/USDT,33781.15,33781.15,33781.15,33781.15,0.00843665,284.9997391475
1652065200,2022-05-09 03:00:00,BTC/USDT,33416.72,33788.92,33416.72,33695.34,1.09021123,36735.038066668196
1652061600,2022-05-09 02:00:00,BTC/USDT,33965.99,33965.99,33303.00,33429.31,2.59667187,86804.9489105097
1652058000,2022-05-09 01:00:00,BTC/USDT,34174.23,34225.89,34174.23,34225.89,0.32134442,10998.2987710338
1652054400,2022-05-09 00:00:00,BTC/USDT,34106.79,34106.79,34106.79,34106.79,0.03000000,1023.2037
1652050800,2022-05-08 23:00:00,BTC/USDT,34106.53,34127.31,33959.68,34127.31,0.84599493,28871.5312345383
1652047200,2022-05-08 22:00:00,BTC/USDT,34356.90,34356.90,34071.33,34164.95,0.53669516,18336.163306641996
